gene,log2FC,p_value,ranking_metric
GATS,0.3122,0.005994768831306993,2.222227559391395
RCC2,0.1999,0.0060832189694627475,2.21586655054056
RANBP1,0.183,0.006142837001670958,2.2116310084007753
BNIPL,0.6243,0.0062029807015831565,2.2073995699891498
TMEM106B,0.22,0.006233250929779046,2.2052853895166615
PPIE,0.1779,0.006233250929779046,2.2052853895166615
RTTN,0.245,0.0062636540813701515,2.203172234778401
ANKRD27,0.2209,0.006543347885698393,2.184199989250352
SEC13,0.1641,0.006575108318372976,2.182097088209431
EPT1,0.2102,0.0066070073178383475,2.1799952121723005
PAFAH1B3,0.3227,0.006639045406431099,2.1778943610721586
CDCA2,0.3907,0.00667122310804995,2.1757945348421397
UPF3B,0.1705,0.006703540948158585,2.1736957334153084
TRNAU1AP,0.1694,0.006735999453788325,2.171597956724667
THOC1,0.2127,0.006801340577591503,2.1674054772836158
DLG3,0.2446,0.006834224257690879,2.1653107743988715
RECQL4,0.3481,0.006867250727168723,2.163217095981649
NUDT5,0.2277,0.006933734175488358,2.1590328122803593
APOBEC3B,0.6057,0.006967185825849808,2.156942605991207
COCH,0.6082,0.007034543692626594,2.1527640685492857
RLIM,0.1692,0.0071024792485924635,2.148590026487103
DDX11,0.2679,0.007205487304530911,2.1423366426761867
SSRP1,0.1951,0.00730983421895533,2.1360924723731003
DOCK3,0.6064,0.0073801500214953145,2.1319348098781283
POLA1,0.203,0.0073801500214953145,2.1319348098781283
TUBG1,0.1962,0.007486761677676692,2.1257059913299914
FTSJ2,0.1901,0.00755860130918919,2.1215585616284423
PI4K2B,0.2167,0.00770413743923081,2.113275978146357
YARS,0.1707,0.00770413743923081,2.113275978146357
EIF4A3,0.1581,0.007740911648700758,2.111207889357775
RBL1,0.2258,0.007777843077132828,2.1091408232640005
DCAF13,0.2394,0.007814932301502816,2.1070747797959277
CFAP44,0.1854,0.007889586454230456,2.1029457604601207
ASNS,0.3141,0.007927152544818324,2.1008827844538307
CDC7,0.2942,0.007927152544818324,2.1008827844538307
TMED4,0.1646,0.008040813881749759,2.0946999902486114
SNRPC,0.1958,0.008040813881749759,2.0946999902486114
SUZ12,0.1768,0.008040813881749759,2.0946999902486114
STRBP,0.2568,0.008040813881749759,2.0946999902486114
GDE1,0.2162,0.008040813881749759,2.0946999902486114
KLHDC3,0.2051,0.008117396534225104,2.0905832382611202
LCLAT1,0.1418,0.008233494977043159,2.084415775109944
PLAA,0.1801,0.008233494977043159,2.084415775109944
MRS2,0.1883,0.008390603605481994,2.0762067956551125
SLC50A1,0.2155,0.008390603605481994,2.0762067956551125
CXXC1,0.2302,0.008390603605481994,2.0762067956551125
NSF,0.1404,0.008390603605481994,2.0762067956551125
MYO5B,0.3801,0.00847015903585989,2.0721084352716597
MCM8,0.2342,0.00847015903585989,2.0721084352716597
UBE2L6,0.3339,0.008550388335028383,2.068014160367728
ODF2,0.203,0.00863129638047105,2.063923970379564
KDM1A,0.19,0.008712888076942664,2.0598378647422817
NOMO1,0.2065,0.008795168356548118,2.055755842889858
TPD52,0.2405,0.008919890725830838,2.049640465966856
ZDHHC13,0.2631,0.008919890725830838,2.049640465966856
MASTL,0.237,0.009003914221421428,2.0455686510927515
NDUFS6,0.237,0.00904619042711205,2.0435342743644194
GBP1,0.4523,0.009088643779023365,2.041500918013443
UCK2,0.2538,0.009174084454780946,2.037437266157763
TMEM97,0.6206,0.009217073049606011,2.03540697050998
GOLPH3L,0.2456,0.009260241332614097,2.0333776949533933
CDC123,0.2001,0.009260241332614097,2.0333776949533933
RAF1,0.1481,0.009434724169519106,2.0252707922035404
CKAP2,0.2876,0.009434724169519106,2.0252707922035404
FBXO21,0.1096,0.009478800526021148,2.0232466160256957
MAGOH,0.1537,0.009523060435988337,2.021223459507643
MDM1,0.2198,0.00956750454977052,2.0192013225772274
IDH2,0.2247,0.009656947998978,2.0151601071903245
PGD,0.2101,0.00970194864390875,2.013141028589163
H2AFX,0.3026,0.00970194864390875,2.013141028589163
COX6B1,0.1863,0.00970194864390875,2.013141028589163
STIP1,0.2034,0.00970194864390875,2.013141028589163
MCM5,0.2047,0.009747136111669913,2.01112296928629
PMM2,0.1627,0.009792511061430748,2.0091059292091877
E2F7,0.4386,0.009883826052484352,2.0050749064418465
ANKRD13A,0.2557,0.009929767420978116,2.0030609236062022
TPM3,0.1864,0.009929767420978116,2.0030609236062022
CEP128,0.2708,0.009975898925878031,2.001047959705517
PCCB,0.1989,0.009975898925878031,2.001047959705517
HIST1H2AD,0.3752,0.010068735018858634,1.9970250884174012
SYCP2,0.3851,0.01016233969718219,1.9930062919935256
TADA1,0.2197,0.010209431940459153,1.9909984216728618
RUVBL1,0.2004,0.010209431940459153,1.9909984216728618
KDELR2,0.1782,0.01030419962012647,1.9869857364478065
SMC4,0.2216,0.010351876415849564,1.984980921396681
YKT6,0.1615,0.010351876415849564,1.984980921396681
TRIM28,0.2001,0.010399749424714378,1.9829771246218786
DEDD,0.1953,0.010544552580767993,1.9769718432195114
GPT2,0.3447,0.010544552580767993,1.9769718432195114
TTF2,0.1789,0.010593217301823422,1.9749721188137324
NME1,0.2773,0.010642081674854725,1.972973412315769
ALYREF,0.2067,0.010642081674854725,1.972973412315769
CXCL13,0.8569,0.01093949954997708,1.96100254524708
EML5,0.5387,0.011090960345827435,1.95503084746344
CKAP5,0.1925,0.011090960345827435,1.95503084746344
PEX19,0.2115,0.011141859663550618,1.9530423159653754
GLE1,0.1787,0.011244281143296059,1.949068304166015
