filename	gene_list_size	cluster_number	cluster_size	n_genes	n_terms	n_edges	n_libraries	density	libraries
permutation_0047	50	1	9	6	3	9	2	1.5	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0047	50	2	6	4	2	6	2	1.5	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0048	50	1	8	6	2	7	2	1.1666666666666667	C2: CP: Reactome Pathways, C5: GO: Molecular Function
permutation_0048	50	2	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0049	50	1	11	8	3	10	2	1.25	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0049	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0050	50	1	18	13	5	17	4	1.3076923076923077	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0051	50	1	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0052	50	1	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0052	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0053	50	1	7	5	2	6	2	1.2	C5: GO: Biological Process, H: Hallmark Gene Sets
permutation_0053	50	2	5	4	1	4	1	1.0	C5: GO: Molecular Function
permutation_0054	50	1	10	8	2	10	2	1.25	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0054	50	2	9	6	3	9	3	1.5	C2: CP: Canonical pathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0054	50	3	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0055	50	1	5	4	1	4	1	1.0	C5: GO: Cellular Component
permutation_0055	50	2	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0056	50	1	6	5	1	5	1	1.0	C5: GO: Molecular Function
permutation_0059	50	1	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0059	50	2	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0059	50	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0059	50	4	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0060	50	1	8	6	2	8	2	1.3333333333333333	C2: CP: Reactome Pathways, C5: GO: Biological Process
